address,geo_elo,geo_elo_active,geo_resolved_trades_count,geo_accuracy_pool,resolved_trades_count,research_excluded
0x0000000060b3a5229b09b16c8fc55e35d166deaa,,,0,0,0,1
0x00000d5a4c33fb0cb8a88bfbc7e8fe034f5ec9ef,,,0,0,,1
0x00014360376ac79266292f354fd113af3d3debbd,,,0,0,0,1
0x0001d0f9ab13ff232b66c8bc1f57621fdfb186db,,,0,0,0,1
0x0002609af65f66befde0b8969beb32540a0ee238,,,0,0,0,1
0x000280fe3a92f0c6f0681f0a486342d04f722791,,,0,0,0,1
0x0002dec41ef8710b0b079eb9e5a4f41bfc3b6e2b,,,1,0,5,0
0x0002e77c09aa27b551050941c4b2f7dc323125ff,,,0,0,,1
0x000300013e1ee36c5cf47212c38be4e4962b74b9,,,0,0,0,1
0x00031edfd32ee6120d9abeffbbf8e28603f922d8,,,0,0,0,1
0x000324b9f1624702e3d2c026fd023222f2189f7e,,,0,0,0,1
0x00033f1089ff061813850e5135483bed39ce3b49,,,0,0,,1
0x0003bd07e722254227f82ef146c0e2e9ce6f7822,,,0,0,,1
0x00044ce281dc1b65d680ce1be58963b6537fa4d7,,,0,0,0,1
0x00046f5a30d334491223e0229973d5ab1546a08b,,,0,0,0,1
0x0004e83165e9c4781b962e15474a4e64d392703e,,,0,0,,1
0x000593ef8edd7a3d14a7b6617ebbf2890baddbe4,,,0,0,0,1
0x0005d7fb0667d2ffbac5ac4b19664f17c15ebdfb,,,0,0,0,1
0x00062c6efd78da38405589b9d15714b07f94b9ea,,,0,0,0,1
0x000664149af9a3533193bc2b349acaa82140a54c,,,0,0,0,1
0x00080d68371d023cdb3c5f72e68977a3c8153f47,,,0,0,0,1
0x000810f31776258b6e6d6d0f0d5912f0c9e8e195,,,0,0,,1
0x0008454de1dcbbd955384150c30da1651de8edb0,,,0,0,0,1
0x0008703916cf5d898fbb0891f9f54ac37f25e37b,,,0,0,0,1
0x00091c24ed6d58f1b20b3880969a269a403e6138,,,0,0,0,1
0x00093a689df7fb09a137f9db7102d9e967c85497,,,0,0,0,1
0x00097dd4ab8a2d15bd76e51548fd3ee8aaf2e28e,,,0,0,0,1
0x000a187554adff0f6ab2e09d3fd19f4d488f6cd1,,,0,0,,1
0x000a4d9c9b5c8ed4cb2790854aca2a97e5806cf7,,,0,0,0,1
0x000b4752bf55f5a3964289042ac9c495075b6ffb,,,0,0,0,1
0x000b614822a323967d250e4196c649894eecad16,,,0,0,0,1
0x000b69e1996431281998871b9d5db88bd8f033ae,1667.04797988987,1062.3769,26,1,62,0
0x000b8072b38657db5de3881e93e4334747259425,,,8,0,76,0
0x000bf88aac86d2f7c2ea5fd3fa2816f6fd16a00c,,,0,0,0,1
0x000c8cb93bb5fd4c9f292c6b4c5f7c021bb6bcf3,,,0,0,26,0
0x000c9c4efe8b74e0fd07444ef98dbbf6da357a67,,,0,0,,1
0x000ca20083cf7f566402ca057176712abe8a8f20,,,0,0,0,1
0x000ca327428598c2d990d56b5681c9852409435f,,,0,0,0,1
0x000ced9f6500bd92777b4f0aec503bbaa2b05774,,,0,0,0,1
0x000d2334037c982e2fc2c8c2b6eefb6003b199df,,,0,0,8,0
0x000d257d2dc7616feaef4ae0f14600fdf50a758e,,,0,0,0,1
0x000d4716ad663d56d98cbd46c06a874d1eb06f2d,,,0,0,0,1
0x000e3112ff76ff6c5eb3c6bd5dec30bc9787f7e9,,,0,0,0,1
0x000e3d2ad56f5f7097991639238dd67e6e8abb77,,,0,0,0,1
0x000edc4d28b9751d1b5101058098b04bac1ce7f6,,,7,0,63,0
0x000f1ac6b61de5d2f2207c3e0c689c4f74f8557f,,,0,0,0,1
0x000f60700a3709ce63809175a058448e7f8d4025,,,0,0,,1
0x0010fdb061ebfe7cbc250281e3e3c238745e2fe1,,,0,0,0,1
0x00117cdadd420c17fa6d35c167f5fe7cbd9ffc7e,,,0,0,0,1
0x0011ac56cc1af0412f569e50eae15f6f48f64cba,,,0,0,0,1
0x0011e28882285a0523353e4c4cafbb938dce2381,,,0,0,0,1
0x00127775415eb3e8015f52d6d2838abd04513d6c,,,3,0,59,0
0x0012cf3f38be14f02f287031d9b028556e41b070,,,0,0,0,1
0x0012fdbc568eac386baeb465f5f8a867341fcdb5,,,10,0,126,0
0x0013667ceb2474c99c1a406a1bef55c8cbad3c30,,,0,0,0,1
0x00139c6d536a1e40bd1556a46a5f96d5569c9147,,,0,0,0,1
0x0013d87a86fd00d2b8cb74c3ee4c9278621db974,,,2,0,23,0
0x0015cfe21ceb3110a8ccad4165b24b27ba77c049,,,4,0,35,0
0x0015e6eee56636a5bf4c8f117b9e9a24a6c8dbc1,,,7,0,64,0
0x00163e3fa29ec52194613a36bbf81d17cfe8f1bf,1531.2450064448,960.9165,9,0,30,0
0x0016ed78a7a396c5a8d2e8dcde61b52e117acfed,,,0,0,0,1
0x001784016e96d3ce3c32cd61cefc1c59ed90f0fc,,,0,0,0,1
0x00180fcad46b7b5a7f7819f5fbdcb56099ce328f,,,0,0,0,1
0x00184f4866c0a360b4861e989781d3a3b952d955,,,0,0,,1
0x00188c38a3a1cee1437ea880d27a55ae432da236,,,0,0,0,1
0x00188e4e463060978f166f6313131afb049aaf64,,,0,0,0,1
0x0018938adc5efaa56026842054d02ee6673e78f9,,,0,0,0,1
0x00190179d84224687adfb93e4a499d36aad0ff59,,,0,0,0,1
0x001920a135f411ab7abf18d8cc4091ee8f640f6a,,,0,0,0,1
0x00193568a35a85e5f3dd9eaa065c59a294da6629,,,0,0,14,0
0x00195fba8cb2f19620541244607efbc3dadb07c8,,,0,0,0,1
0x001a1800ec97fce52447fdba012e175f003c1fb9,,,0,0,0,1
0x001a6b2241c007ec9492968781d91be417d4dfef,,,0,0,,1
0x001b01c32d03633217adbe4abff71a5d32f5698b,,,0,0,0,1
0x001ccb758ed265effe469eea7acff6c53e631429,1499.9162112,1305.7529,4,0,21,0
0x001cead3242b0936079bb346d19c77fc6337b98f,,,0,0,0,1
0x001d43d8f30b57c7acde8241dcddb2941a85bf91,,,0,0,0,1
0x001d4bd92b6c5aa16f34bf30e3d00ad04fe0328c,,,7,0,77,0
0x001d7379ed722772b9574be1c4a858d09ff51c06,,,0,0,,1
0x001dfd213bfa6bcd7114eaef546e1331074933f9,,,0,0,,1
0x001e5bd3d97657e9a782089d458336539ebdfa56,,,0,0,,1
0x001ebf1048f44ac24a9c154d226e06a224f94df2,,,0,0,0,1
0x001ececcb98fcf0e3e82f91d4c06f38ac040e154,,,0,0,0,1
0x001f40c0403bad174c1416491242c74399f64c4a,1376.1399325856,991.9951,9,0,507,0
0x001f7d0a0ecc75ec12c77a2214eea21d4b355c92,,,0,0,,1
0x001fafeffb863bfb339da7dd5dd0bc342d20f7c1,,,0,0,0,1
0x00201e126e707671acced682404faaf548d0e241,,,0,0,0,1
0x00205869afa0fb65a86593abba6af620bfc316b9,,,0,0,0,1
0x00205d917182464edfa4ae43caabb0d5b1517766,,,0,0,1,1
0x00206e9b23644d39e91bd87979c3cbace68ed6ea,,,0,0,0,1
0x0020cbd643c48eee883e8b3abb46ed0b99cd4d7e,,,0,0,0,1
0x00214ec9a3abf6ea1b417dc5bf553de732ee7c05,,,0,0,0,1
0x0021576e30f3557d16d2ad88c48f3360d7e6f7bc,,,0,0,0,1
0x00217a11a624b6f3daced30f499c3007709ee964,,,0,0,0,0
0x002217232504477043ab14d6ca12d45b95085f11,,,0,0,0,1
0x002218bdf6026eecf51bf4720f1cdfb06281e70f,,,0,0,,1
0x0022aa733b46e44797efce7cf046c2239775b66e,1493.99199850156,1036.2662,3,0,33,0
0x002306ce1e983293ee9262601653ad54a08a9059,,,0,0,0,1
0x00248a5a9c710f2ad52c3146598725383abdc2d6,,,0,0,0,1
0x00250958139863d9209b46c12a5bbb54b392845e,,,4,0,55,0
0x00250b325e29213037ee9c3d24a287213f9d6ca8,,,0,0,0,1
0x00254fc662092d3f68a5654985db0639fb49f5a8,,,0,0,0,1
0x00258eba5eabc6383d9626df1711ed19ea2f54d0,,,0,0,,1
0x0025ad09aff05d92a92b451599698e8a183ec0b5,,,0,0,0,1
0x0025d612018078233189ed0db22387b730bdef73,,,2,0,14,0
0x0025ea61c1f9168806b13839c46519656bd51cf6,,,0,0,0,1
0x002623114c308db46260a37d7fdeb90548dc35ff,,,0,0,0,1
0x002650faed7cb45f674415e8c98c0dbd78763323,,,0,0,,1
0x00267a81f4c06bf35e5496cc8a8cc86e41e5e4b4,,,0,0,0,1
0x0026c547599520668b51943d5af70faf8b23f854,,,5,0,64,0
0x00281206ef0c695b01d8a6e1fa191fbb84f6e270,,,6,0,22,0
0x0028743b98d2f97eb7f05451fc153e3039005cf9,,,0,0,0,1
0x00289fbe31ee35f833ddf62114ade9d2233dfdc6,,,0,0,0,1
0x0028a1806039c91d398581d072676a820f2a2953,,,0,0,0,1
0x0028d3928b3b1c8a10331019581490d8446a3097,,,0,0,0,1
0x0028f2db964763d9173b52f3f0a14fbec9e2179e,,,0,0,0,1
